Solar_Power,rso,precip,rh_max,td_avg,airt_max,windd_avg,winds_max
44713,2.855,0,25,32.9,78.4,68,6.487
39476,2.371,0,25,34.2,79.5,360,10.29
29613,1.735,0,29,34.9,78.3,268,6.935
16678,1.015,0,39,37.2,77.9,249,5.369
5764,0.308,0,44,37.2,76.1,261,2.908
3460,0.004,0,31,36,73,293,4.026
17638,0.914,0,38,27.1,57,39,17.001
28963,1.644,0,38,30.6,62.1,51,14.987
40100,2.286,0,41,36.7,65.1,26,7.606
45157,2.773,0,38,35.2,68.7,303,6.711
52108,3.108,0,34,35.2,73.6,32,6.487
52418,3.229,0,28,34.2,78.6,348,6.935
44648,2.846,0,25,31.1,81.3,350,8.948
39556,2.36,0,21,30.9,82.2,35,9.171
29618,1.725,0,20,26.8,82.8,54,7.829
16862,1.009,0,20,26.8,82.8,318,5.592
5526,0.296,0,22,29.1,79.9,249,2.237
4011,0.003,0,24,28,75.4,160,5.145
4814,0.21,0,51,29.5,58.1,193,8.948
15133,0.8980001,0,37,26.2,61.2,44,15.882
28487,1.634,0,39,31.5,66.2,50,16.33
39510,2.27,0,40,39.2,68.4,13,7.158
44977,2.751,0,40,39.2,72.9,12,5.592
44286,3.195,0,29,39,82.2,21,8.5
38514,3.195,0,29,39,82.2,21,8.5
28659,3.195,0,29,39,82.2,21,8.5
15771,3.195,0,29,39,82.2,21,8.5
4688,3.195,0,29,39,82.2,21,8.5
4178,3.195,0,29,39,82.2,21,8.5
15441,2.241,0,37,38.3,72.1,40,9.395
22407,2.739,0,45,44.2,77.7,54,7.606
36880,3.036,0,44,49.3,81.9,295,6.04
50106,3.132,0,35,48.6,85.1,311,6.487
33170,3.041,0,30,47.5,86.2,293,10.514
23692,2.745,0,32,47.5,86,294,6.04
36772,2.261,0,28,45.9,87.6,268,6.711
27277,1.644,0,27,45.3,88,231,4.698
9643,0.9390001,0,31,45.9,86.5,270,3.579
5667,0.254,0,36,49.1,83.8,132,1.79
4549,0.186,0,52,45.5,65.1,84,14.093
14026,0.848,0,52,45.9,67.1,89,14.987
26953,1.557,0,59,51.4,70.5,198,5.145
37427,2.173,0,55,53.1,75.9,312,5.592
40586,2.662,0,47,53.4,79,3,6.263
44273,2.98,0,44,55.2,82.9,29,8.053
44571,3.086,0,38,53.1,85.5,348,7.382
43600,3.002,0,37,52,87.4,284,8.724
43325,2.708,0,28,44.8,88.5,306,9.171
19433,2.256,0,27,45.7,88.5,292,8.277
20409,1.624,0,26,44.4,88.5,300,5.816
12797,0.92,0,38,46.6,88,281,6.04
5384,0.238,0,39,48.2,85.1,54,2.237
6675,0,0,39,45.9,81.9,46,6.487
4488,0.179,0,56,41,64.2,130,10.737
14233,0.844,0,47,41.7,67.1,51,14.987
27144,1.557,0,58,48.4,67.8,225,6.711
36862,2.174,0,52,48.7,72.5,280,5.369
29805,2.671,0,48,47.8,75.7,49,6.263
51704,3.122,0,34,45.7,84.6,306,6.04
44041,2.722,0,27,43.9,89.2,249,5.816
37797,2.242,0,21,39.4,89.4,324,7.158
27935,1.625,0,22,39,89.6,233,7.606
15527,0.91,0,22,40.6,88.7,272,4.698
4744,0.224,0,25,41.2,85.3,304,2.461
2224,0,0,26,37,82.6,51,6.711
4170,0.172,0,31,30.6,63.9,48,19.461
14440,0.849,0,44,32.7,65.5,43,19.238
27656,1.57,0,51,43,67.5,310,5.592
38327,2.182,0,45,43.7,71.8,344,5.816
44285,2.682,0,37,43.3,77.9,20,7.606
43965,2.711,0,22,41.5,91.6,292,6.711
37826,2.232,0,18,38.3,92.1,253,8.948
28151,1.608,0,17,37.4,91.8,283,8.5
15534,0.8930001,0,31,38.3,90.3,236,4.25
4616,0.209,0,22,36.7,88.2,273,2.908
4016,0.164,0,27,25.5,64.2,47,16.33
14794,0.844,0,40,31.3,64.9,162,13.198
28053,1.561,0,39,36.7,68.5,238,8.5
38872,2.193,0,41,40.5,74.1,47,8.277
44708,2.682,0,32,36.9,80.6,49,6.263
53330,3.021,0,26,34.9,84.7,23,6.935
43843,2.733,0,19,34,90.9,279,6.935
37005,2.24,0,19,32.4,91.4,279,7.606
27945,1.604,0,17,34.2,90.9,257,5.369
14458,0.878,0,19,36.5,90.9,283,4.25
3997,0.194,0,24,39,86.7,47,4.474
5721,0.155,0,47,39.4,71.4,120,7.829
8050,0.811,0,47,39.6,72,53,11.856
9462,1.526,0,56,45.9,71.2,121,14.093
18847,2.145,0,53,47.1,73,237,6.487
30411,2.638,0,48,47.7,75.6,265,3.579
